feature,importance
crop_type_encoded,0.8832485273561442
latitude,0.030093454657729127
soil_health_status_encoded,0.015510295802118568
data_source_soil_encoded,0.012860270064636633
sowing_day_of_year,0.012407395185963252
rainfall,0.011869735541196713
is_kharif,0.007355689008224317
season_encoded,0.003939949699779513
sowing_month,0.00258686280444402
year,0.002569226362902647
is_rabi,0.0024156403371929304
K_available,0.002360897806935871
N_K_ratio,0.0015615166738242002
temperature,0.00134352120039922
organic_carbon,0.0012315388767101501
N_available,0.0012035233268928
longitude,0.0011384161400209334
pH,0.0011039539686427144
P_K_ratio,0.001086302253274479
wind_speed,0.0009714063617573241
N_P_ratio,0.0007804557357986299
soil_fertility_index,0.0006284900608007777
P_available,0.0005343859909301708
yield_potential_score,0.0005178463285749505
district_encoded,0.0004396276594977652
humidity,0.00021235351840004832
soil_pH_category_encoded,2.871727720784285e-05
green,0.0
blue,0.0
ndwi_mean,0.0
ndvi_mean,0.0
drought_risk,0.0
cold_stress,0.0
heat_stress,0.0
vegetation_health_score,0.0
red,0.0
nir,0.0
data_source_encoded,0.0
data_source_weather_encoded,0.0
